model,latency_ns,bw_gbs,granularity,transfers,transfer_ms,latency_ms,latency_share
Mixtral-8x7B,800,16.88,512 KB,672,20.8721,0.5376,0.0251
Mixtral-8x7B,800,16.88,4096 KB,84,20.8721,0.0672,0.0032
Mixtral-8x7B,800,16.88,whole expert,1,20.8721,0.0008,0.0
Mixtral-8x7B,800,67.5,4 KB,86016,5.2196,68.8128,0.9295
Mixtral-8x7B,800,67.5,64 KB,5376,5.2196,4.3008,0.4517
Mixtral-8x7B,800,67.5,512 KB,672,5.2196,0.5376,0.0934
Mixtral-8x7B,800,67.5,4096 KB,84,5.2196,0.0672,0.0127
Mixtral-8x7B,800,67.5,whole expert,1,5.2196,0.0008,0.0002
Qwen3-235B-A22B,200,16.88,4 KB,9216,2.2363,1.8432,0.4518
Qwen3-235B-A22B,200,16.88,64 KB,576,2.2363,0.1152,0.049
Qwen3-235B-A22B,200,16.88,512 KB,72,2.2363,0.0144,0.0064
Qwen3-235B-A22B,200,16.88,4096 KB,9,2.2363,0.0018,0.0008
Qwen3-235B-A22B,200,16.88,whole expert,1,2.2363,0.0002,0.0001
Qwen3-235B-A22B,200,67.5,4 KB,9216,0.5592,1.8432,0.7672
Qwen3-235B-A22B,200,67.5,64 KB,576,0.5592,0.1152,0.1708
Qwen3-235B-A22B,200,67.5,512 KB,72,0.5592,0.0144,0.0251
Qwen3-235B-A22B,200,67.5,4096 KB,9,0.5592,0.0018,0.0032
Qwen3-235B-A22B,200,67.5,whole expert,1,0.5592,0.0002,0.0004
Qwen3-235B-A22B,300,16.88,4 KB,9216,2.2363,2.7648,0.5528
Qwen3-235B-A22B,300,16.88,64 KB,576,2.2363,0.1728,0.0717
Qwen3-235B-A22B,300,16.88,512 KB,72,2.2363,0.0216,0.0096
Qwen3-235B-A22B,300,16.88,4096 KB,9,2.2363,0.0027,0.0012
Qwen3-235B-A22B,300,16.88,whole expert,1,2.2363,0.0003,0.0001
Qwen3-235B-A22B,300,67.5,4 KB,9216,0.5592,2.7648,0.8318
Qwen3-235B-A22B,300,67.5,64 KB,576,0.5592,0.1728,0.2361
Qwen3-235B-A22B,300,67.5,512 KB,72,0.5592,0.0216,0.0372
Qwen3-235B-A22B,300,67.5,4096 KB,9,0.5592,0.0027,0.0048
Qwen3-235B-A22B,300,67.5,whole expert,1,0.5592,0.0003,0.0005
Qwen3-235B-A22B,400,16.88,4 KB,9216,2.2363,3.6864,0.6224
Qwen3-235B-A22B,400,16.88,64 KB,576,2.2363,0.2304,0.0934
Qwen3-235B-A22B,400,16.88,512 KB,72,2.2363,0.0288,0.0127
Qwen3-235B-A22B,400,16.88,4096 KB,9,2.2363,0.0036,0.0016
Qwen3-235B-A22B,400,16.88,whole expert,1,2.2363,0.0004,0.0002
Qwen3-235B-A22B,400,67.5,4 KB,9216,0.5592,3.6864,0.8683
Qwen3-235B-A22B,400,67.5,64 KB,576,0.5592,0.2304,0.2918
Qwen3-235B-A22B,400,67.5,512 KB,72,0.5592,0.0288,0.049
Qwen3-235B-A22B,400,67.5,4096 KB,9,0.5592,0.0036,0.0064
Qwen3-235B-A22B,400,67.5,whole expert,1,0.5592,0.0004,0.0007
Qwen3-235B-A22B,600,16.88,4 KB,9216,2.2363,5.5296,0.712
Qwen3-235B-A22B,600,16.88,64 KB,576,2.2363,0.3456,0.1339
Qwen3-235B-A22B,600,16.88,512 KB,72,2.2363,0.0432,0.019
Qwen3-235B-A22B,600,16.88,4096 KB,9,2.2363,0.0054,0.0024
Qwen3-235B-A22B,600,16.88,whole expert,1,2.2363,0.0006,0.0003
Qwen3-235B-A22B,600,67.5,4 KB,9216,0.5592,5.5296,0.9082
Qwen3-235B-A22B,600,67.5,64 KB,576,0.5592,0.3456,0.3819
Qwen3-235B-A22B,600,67.5,512 KB,72,0.5592,0.0432,0.0717
Qwen3-235B-A22B,600,67.5,4096 KB,9,0.5592,0.0054,0.0096
Qwen3-235B-A22B,600,67.5,whole expert,1,0.5592,0.0006,0.0011
Qwen3-235B-A22B,800,16.88,4 KB,9216,2.2363,7.3728,0.7673
Qwen3-235B-A22B,800,16.88,64 KB,576,2.2363,0.4608,0.1709
Qwen3-235B-A22B,800,16.88,512 KB,72,2.2363,0.0576,0.0251
Qwen3-235B-A22B,800,16.88,4096 KB,9,2.2363,0.0072,0.0032
Qwen3-235B-A22B,800,16.88,whole expert,1,2.2363,0.0008,0.0004
